,Energy Utility BIL Section 40126 Cybersecurity Plan – Levels Comparison,,,,,,,,,,,
,https://www.energy.gov/ceser/bipartisan-infrastructure-law-implementation,,,,,,,,,,,
,https://www.energy.gov/ceser/cybersecurity-capability-maturity-model-c2m2,,,,,,,,,,,
,https://www.energy.gov/sites/default/files/2023-10/OCED%20Cybersecurity%20Plan%20Guidance.pdf,,,,,,,,,,,
,,,,,,,,,,,,
,C2M2,,BIL 40126,,,,,,,,,
,,,,,Low Risk Cybersecurity Plan,,,Medium Risk Cybersecurity Plan,,,High Risk Cybersecurity Plan,
,Domain,,Topic Area,,Control ID,Control Description,,Control ID,Control Description,,Control ID,Control Description
,ASSET,,"Asset, Change, and Configuration Management

Manage the organization’s IT and OT assets, including both hardware and software, and information assets commensurate with the risk to critical infrastructure and organizational objectives.",,i,"Provide a brief high-level response that includes a description of the plan to maintain inventory and configuration management including:
• key milestones
• Standards used to design the processes",,i,What are the project’s Assets and Critical Assets? Provide a high-level description of the types of Assets that are part of the project.,,i,What is the project team’s plan to implement and maintain an Asset Inventory of its Information Technology (IT) Assets? Provide a high-level description of the Plan and the project team’s commitment to develop and implement relevant policies and procedures.
,,,,,ii,,,ii,"What is the project team’s plan to implement and maintain an Asset Inventory (including both IT and OT assets), provide configuration management, and govern the change control process? Provide a high-level description of the plan and its commitment to develop and implement relevant policies and procedures.",,ii,What is the project team’s plan to implement and maintain an Asset Inventory of its Operational Technology (OT) Assets? Provide a high-level description of the plan and the project team’s commitment to develop and implement relevant policies and procedures.
,,,,,iii,,,iii,"Which cybersecurity standards, guidelines, industry best practices, or guidance, etc. (if applicable) are the project team planning to use to support project team management of digital Assets?",,iii,What is the project team’s plan to implement and maintain an inventory of its Information Assets? Provide a high-level description of the plan and the project team’s commitment to develop and implement relevant policies and procedures.
,,,,,iv,,,iv,"Describe how the project team plans to assign proper resources (people, funding, and time), roles, and responsibilities for managing the Cybersecurity Plan’s digital Assets and systems.",,iv,What is the project team’s plan to implement and maintain a process for IT Asset configuration and change management? Provide a high-level description of the plan and the project team’s commitment to develop and implement relevant policies and procedures.
,,,,,v,,,v,,,v,What is the project team’s plan to implement and maintain a process for OT Asset configuration and change management? Provide a high-level description of the plan and the project team’s commitment to develop and implement relevant policies and procedures.
